ID,Category,Product Name,Price (IDR),Model Battery,Voltage,Capacity Label,Merk,Limited Charge Voltage,Compatible For,Image,Shopee URL
3.0,Infinix,Sumopower Battery Infinix Hot 30i / Hot 40 Pro / Note 10 Pro NFC X695 / Note 11 Pro / Note 11S / Zero 5G 2023 - BL-49LX,126000,BL-49LX,3.87 VOLT,4900 mAh,Sumopower,4.5 V,Infinix Hot 12i X665 / Hot 20s X6827,/assets/images/infinix/BL-49LX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Hot-12-X6817-Hot-12i-X665-Hot-20s-X6827-BL-49LX-Double-Power-Original-100--i.1433685724.43352419947
4.0,Infinix,Sumopower Battery Infinix Hot 30i / Hot 40i / Smart 7 / Smart 8 / Smart 8 Pro / Smart 5 / Smart 9 - BL-49NX,127000,BL-49NX,3.87 VOLT,4900 mAh,Sumopower,4.45 V,Infinix Hot 30i X669C / Hot 40i / Smart 7 X6515 / Smart 8 X6525 / Smart 8 Pro X6525B / Smart 9 X6532 / Smart 9 HD X6532C,/assets/images/infinix/BL-49NX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Hot-30i-X669C-Hot-40i-Smart-7-X6515-Smart-8-X6525-Smart-8-Pro-X6525B-Smart-9-X6532-Smart-9-BL49NX-Double-Power-Original-100--i.1433685724.41152436279
5.0,Infinix,Sumopower Battery Infinix Hot 8 / Hot 9 / Hot 9 Pro / Hot 20i / Note 7 Lite / Smart 5 / Smart 6 / Smart 6 Plus - BL-49FX,135000,BL-49FX,3.85 VOLT,4900mAh,Sumopower,4.4 V,infinix hot 8,/assets/images/infinix/BL-49FX.png,https://shopee.co.id/Baterai-Sumopower-infinix-hot-8-(x650)-hot-9-(x655)-hot-9-pro-(x655f)-Hot-20i-(X665E)-Note-7-Lite-(X656)-Smart-5-(X657)-Smart-6-(X6511)-Smart-6-Plus-(X6823)-BL-49FX-Double-Power-Original-100--i.1433685724.28886989830
6.0,Infinix,Sumopower Battery Infinix Hot 12 / Hot 12i / Hot 20s - BL-49LX,126000,BL-49LX,3.87 VOLT,4900 mAh,Sumopower,4.5 V,Infinix Hot 12i X665 / Hot 20s X6827,/assets/images/infinix/BL-49LX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Hot-12-X6817-Hot-12i-X665-Hot-20s-X6827-BL-49LX-Double-Power-Original-100--i.1433685724.43352419947
7.0,Infinix,Sumopower Battery Infinix Hot 7 Lite / Hot 11s / Hot 12 Pro / Note 7 / Note 10 / Zero X Neo - BL-49GX,127500,BL-49GX,3.85 VOLT,4900 mAh,Sumopower,4.4 V,Infinix Hot 7 Lite,/assets/images/infinix/BL-49GX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Hot-7-Lite-(X690B)-Hot-11s-NFC-(X6812B)-HOT-12-Pro-(X668C)-Note-7-(X690)-Note-10-(X693)-Zero-X-Neo-(X6810)-BL-49GX-Double-Power-Original-100--i.1433685724.41502432343
8.0,Infinix,Sumopower Battery Infinix Hot 8 Play / Hot 10s / Hot 10 Play / Hot 11 Play / Hot 12 Play / Hot 30 Play - BL-58BX,144000,BL-58BX,3.85 VOLT,5850 mAh,Sumopower,4.40 V,Infinix Hot 9 Play X680 / Hot 10s X689/ Hot 10 Play X688B / Hot 11 Play X688 / Hot 12 Play X6816 / X6816D NFC / Hot 30 Play X6835,/assets/images/infinix/BL-58BX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Hot-9-Play-X680-Hot-10s-X689-Hot-10-Play-X688B-Hot-11-Play-X688-Hot-12-Play-X6816-X6816D-NFC-Hot-30-Play-X6835-BL-58BX-Double-Power-Original-100--i.1433685724.28086989553
9.0,Infinix,Sumopower Battery Infinix S5 / S5 Lite / Smart 4 - BL-39LX,124500,BL-39LX,3.85 VOLT,3900 mAh,Sumopower,4.4 V,Infinix s5,/assets/images/infinix/BL-39LX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-S5-X652-S5-Lite-X652B-Smart-4-X653-BL-39LX-Double-Power-Original-100--i.1433685724.40702432605
10.0,Infinix,Sumopower Battery Infinix Hot 10 / Hot 11 / Note 8 / Note 8i - BL-51BX,127500,BL-51BX,3.85 VOLT,5100 mAh,Sumopower,4.4 V,Infinix Hot 10,/assets/images/infinix/BL-51BX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Hot-10-X682-Hot-11-X662-Note-8-X692-Note-8I-X683-BL-51BX-Double-Power-Original-100--i.1433685724.42552442354
11.0,Infinix,Sumopower Battery Infinix Note 11 NFC / Note 12 / Note 12 G96 / Note 12 2023 / Note 12i 2022 - BL-49KX,129000,BL-49KX,3.87 VOLT,4900 mAh,Sumopower,4.45 V,Infinix Note 11 NFC X663B / Note 12 X663/Note 12 G96 X670/Note 12 2023 X676C / Note 12i 2022 X677,/assets/images/infinix/BL-49KX.png,https://shopee.co.id/Baterai-Sumopower-Infinix-Note-11-NFC-X663B-Note-12-X663-Note-12-G96-X670-Note-12-2023-X676C-Note-12i-2022-X677-BL-49KX-Double-Power-Original-100--i.1433685724.41252432368
12.0,Samsung,Samsung A10S / A20S / A21 SCUD-WT-N6,117000,SCUD-WT-N6,3.82 V - 4.40 V,3900mAh,Sumopower,4.40 V,Samsung A10S / A20S / A21,/assets/images/samsung/WT-N6.png,https://shopee.co.id/SumoPower-Battery-Baterai-Batre-Samsung-A10S-A20S-A21-SCUD-WT-N6-i.1433685724.40504490116?extraParams=%7B%22display_model_id%22%3A253519092200%2C%22model_selection_logic%22%3A3%7D
13.0,Samsung,Samsung C140 / X200 / E250 / C3303 AB463436BU,33000,AB463436BU,,800 mAh,Sumopower,,Samsung C140 / X200 / E250 / C3303,/assets/images/samsung/AB463446BU.png,https://shopee.co.id/SumoPower-Battery-Baterai-Batre-Samsung-C140-X200-E250-C3303-AB463436BU-i.1433685724.41304363995?extraParams=%7B%22display_model_id%22%3A285369849105%2C%22model_selection_logic%22%3A3%7D
14.0,Samsung,Samsung Galaxy J1 / J100 BJ100CBE,67500,BJ100CBE,3.85 V - 4.4 V,2050 mAh,Sumopower,4.4 V,Samsung Galaxy J1 / J100,/assets/images/samsung/J120.png,https://shopee.co.id/SumoPower-Battery-Baterai-Batre-Samsung-Galaxy-J1-J100-BJ100CBE-i.1433685724.43254501995?extraParams=%7B%22display_model_id%22%3A300380885492%2C%22model_selection_logic%22%3A3%7D
15.0,Samsung,Samsung A01 QL1695,97500,QL1695,3.85 V - 4.4 V,2920mAh,Sumopower,4.4 V,Samsung A01,/assets/images/samsung/QL1695.png,https://shopee.co.id/SumoPower-Battery-Baterai-Batre-Samsung-A01-QL1695-i.1433685724.42804289183?extraParams=%7B%22display_model_id%22%3A280363830171%2C%22model_selection_logic%22%3A3%7D
15.0,Samsung,Samsung A01 QL1695,97500,QL1695,3.85 V - 4.4 V,2920mAh,Sumopower,4.4 V,Samsung A01,/assets/images/samsung/QL1695.png,https://shopee.co.id/SumoPower-Battery-Baterai-Batre-Samsung-A01-QL1695-i.1433685724.42804289183?extraParams=%7B%22display_model_id%22%3A280363830171%2C%22model_selection_logic%22%3A3%7D
